Location Name,Type,Address,Coordinates
"Autosalonas ""Porsche""",#icon-503-DB4436,"Dariaus ir Girėno g. 15, Vilnius, Lietuva","25.270464, 54.65645"
Plytinės g. 7A,#icon-503-DB4436,"Plytinės g. 7A Vilnius, Lietuva","25.3421145, 54.7252554"
"Viešbutis ""Ibis Styles Vilnius""",#icon-503-DB4436,"Minsko pl. 14, Vilnius, Lietuva","25.316738, 54.650734"
"Vilniaus oro uostas, VIP aikštelė",#icon-503-DB4436,"Rodūnios kelias 2, Vilnius, Lietuva","25.280061, 54.644165"
M. Mironaitės g. 22,#icon-503-DB4436,,"25.1895846, 54.6800299"
Veiverių g. 142A.,#poly-F8971B-2401-87,,"23.8886118, 54.8708996; 23.8885528, 54.8707452; 23.8896418, 54.8706156; 23.8898885, 54.8712453; 23.8893843, 54.871307; 23.8892019, 54.8708193; 23.8886118, 54.8708996"
"PC ""Rimi"", Europos pr.",#poly-F8971B-2401-87,,"23.9117217, 54.875619; 23.9116359, 54.8752702; 23.9129555, 54.8751869; 23.9131325, 54.8761314; 23.9125264, 54.8761684; 23.9124298, 54.8755789; 23.9117217, 54.875619"
"Vilniaus oro uostas, VIP aikštelė",#poly-F8971B-2401-87,"Rodūnios kelias 2, Vilnius, Lietuva","25.2804101, 54.6443215; 25.2778888, 54.6437472; 25.2778727, 54.6431264; 25.2786934, 54.6431264; 25.2797019, 54.6437845; 25.2804101, 54.6437845; 25.2804101, 54.6443215"
"PC ""Iki"", Molėtų g.",#poly-F8971B-2401-87,Molėtų g. 40,"25.273608, 54.7827215; 25.2741015, 54.7821214; 25.2739727, 54.7814594; 25.2732217, 54.7812676; 25.272857, 54.781744; 25.2724385, 54.7817007; 25.2726209, 54.7814222; 25.2735329, 54.7806055; 25.2745628, 54.7807107; 25.2749598, 54.7825421; 25.273608, 54.7827215"
"PC ""Iki"", Molėtų g.",#icon-503-DB4436,Molėtų g. 40,"25.27408, 54.7813604"
Plytinės g. 7A,#poly-F8971B-2401-87,"Plytinės g. 7A Vilnius, Lietuva","25.3415859, 54.7259647; 25.3407598, 54.7248928; 25.3425622, 54.7243414; 25.3435278, 54.7255186; 25.3415859, 54.7259647"
"Viešbutis ""Ibis Styles Vilnius""",#poly-F8971B-2401-87,"Minsko pl. 14, Vilnius, Lietuva","25.3145278, 54.65079; 25.3186476, 54.6497347; 25.3191411, 54.6504299; 25.31515, 54.6514603; 25.3145278, 54.65079"
"Autosalonas ""Porsche""",#poly-F8971B-2401-87,"Dariaus ir Girėno g. 15, Vilnius, Lietuva","25.2716392, 54.6566088; 25.2687317, 54.657155; 25.2682382, 54.6564195; 25.2713442, 54.6559137; 25.2716392, 54.6566088"
M. Mironaitės g. 22,#poly-F8971B-2401-87,"M. Mironaitės g., Vilnius","25.1879597, 54.6799288; 25.1891291, 54.6791348; 25.1893651, 54.6802451; 25.1897836, 54.6806545; 25.1909423, 54.6802327; 25.1914573, 54.6792837; 25.1925945, 54.6794077; 25.1913929, 54.6804498; 25.1898694, 54.6811321; 25.1879597, 54.6799288"
"""Lemon Gym"" sporto klubas, Vydūno g.",#poly-F8971B-2401-87,"Vydūno g. 2, Vilnius, Lietuva","25.1866186, 54.7079868; 25.1866079, 54.7068772; 25.1894403, 54.7060714; 25.1900679, 54.7062077; 25.1901161, 54.7079558; 25.1866186, 54.7079868"
"PC ""Pupa"" Priegliaus g. 1",#poly-F8971B-2401-87,"Pilaitės pr. 31, Vilnius, Lietuva","25.1844299, 54.7109558; 25.1867688, 54.7109496; 25.1866829, 54.7102244; 25.188024, 54.7102678; 25.1879489, 54.7091335; 25.1892471, 54.7087058; 25.1893222, 54.7103731; 25.189333, 54.7105777; 25.1893009, 54.7117212; 25.1869514, 54.7125859; 25.1869835, 54.7133389; 25.1885445, 54.7133188; 25.1884666, 54.7144739; 25.1819475, 54.7144565; 25.1795912, 54.7144638; 25.1779899, 54.7131468; 25.1779349, 54.711571; 25.1795536, 54.7115075; 25.1795912, 54.7104723; 25.1832927, 54.7103422; 25.1844192, 54.7101748; 25.1844299, 54.7109558"
Agniaus stotelė_Žemieji paneriai,#icon-503-DB4436,"Savanorių pr 220A, Vilnius","25.2051043, 54.6422665"
Polygon 125,#poly-F8971B-2401-87,,"25.2060055, 54.6421051; 25.2058661, 54.6426887; 25.2049864, 54.6426204; 25.2037633, 54.642639; 25.2029586, 54.6427818; 25.2026153, 54.6430116; 25.2016175, 54.64267; 25.2025187, 54.642043; 25.203259, 54.6414221; 25.2047503, 54.640112; 25.2067995, 54.6399072; 25.2070785, 54.6409068; 25.2069927, 54.6420554; 25.2060055, 54.6421051"
"VC ""HIGHWAY"", Savanorių pr.",#poly-F8971B-2401-87,,"25.2172923, 54.6501754; 25.2180111, 54.6497099; 25.2210688, 54.6514107; 25.2208732, 54.6515752; 25.2206397, 54.6517396; 25.2203715, 54.6519072; 25.2172923, 54.6501754"
"VC ""HIGHWAY"", Savanorių pr.",#icon-503-DB4436,,"25.2202427, 54.6514976"
Grigiškės,#poly-F8971B-2401-87,,"25.0955361, 54.6697921; 25.094989, 54.6691438; 25.096389, 54.6687622; 25.0954127, 54.6674933; 25.0975639, 54.6668914; 25.0984329, 54.6679292; 25.1024563, 54.6668512; 25.1037759, 54.6683744; 25.1011313, 54.6690592; 25.1004594, 54.6682812; 25.0996158, 54.6684958; 25.0988366, 54.6687725; 25.0994307, 54.6694959; 25.0971883, 54.6700961; 25.0966412, 54.669485; 25.0955361, 54.6697921"
Grigiškės,#poly-F8971B-2401-87,,"25.089705, 54.6713866; 25.0912929, 54.6709523; 25.0916362, 54.671399; 25.0900698, 54.6718581; 25.089705, 54.6713866"
"UAB ""Senukai""",#poly-F8971B-2401-87,"UAB ""Senukai"", Vikingų g. 3","25.2790904, 54.6515907; 25.2792943, 54.6524162; 25.2778566, 54.6525031; 25.2777278, 54.6517086; 25.2790904, 54.6515907"
"UAB ""Senukai""",#icon-503-DB4436,,"25.2784789, 54.6520748"
"Molėtų pl. PC ""Rimi"", VLN",#icon-503-DB4436,"Molėtų pl. 49, Vilnius","25.2728999, 54.7737276"
"Molėtų pl. PC ""Rimi"", VLN",#poly-F8971B-2401-87,"Molėtų pl. 49, Vilnius","25.2723956, 54.7741979; 25.2721167, 54.7733625; 25.2730823, 54.7733068; 25.2735329, 54.7739071; 25.2723956, 54.7741979"
Valakampiai,#poly-F8971B-2401-87,"Vaidilutės g. 79, Vilnius","25.2945936, 54.7428044; 25.2944702, 54.7424607; 25.294674, 54.7424421; 25.2948967, 54.7423337; 25.2948055, 54.7421355; 25.2944863, 54.7421758; 25.2941644, 54.7414078; 25.2945077, 54.7413614; 25.2946687, 54.7417701; 25.2949262, 54.7423151; 25.2951729, 54.7425319; 25.2952266, 54.7427239; 25.2945936, 54.7428044"
Valakampiai,#icon-503-DB4436,"Vaidilutės g. 79, Vilnius","25.2948457, 54.7426186"
"Trakų Vokė ""Maxima""",#poly-F8971B-2401-87,"J. Tiškevičiaus g. 22, Vilnius","25.1105297, 54.6247235; 25.1090062, 54.6243384; 25.1093924, 54.6235682; 25.1111519, 54.6239657; 25.1105297, 54.6247235"
"Trakų Vokė ""Maxima""",#icon-503-DB4436,"J. Tiškevičiaus g. 22, Vilnius","25.1097357, 54.6241645"
Grigiškės,#icon-503-DB4436,"Kovo 11-osios g. 39, Grigiškės","25.0987065, 54.6686381"
Balsių mokykla - Vilnius,#poly-F8971B-2401-87,Bubilo g. 8 Vilnius,"25.3614878, 54.7789596; 25.3617668, 54.7783965; 25.3621101, 54.7784399; 25.3617883, 54.7789967; 25.3614878, 54.7789596"
Balsių mokykla - Vilnius,#icon-503-DB4436,Bubilo g. 8 Vilnius,"25.361681, 54.778873"
"Šiaurės g. PC ""Rimi"" - Vilnius",#poly-F8971B-2401-87,"Šiaurės g. 37, Vilnius","25.4093707, 54.7011554; 25.4094779, 54.7003867; 25.4121816, 54.7006099; 25.4119456, 54.701453; 25.4093707, 54.7011554"
"Šiaurės g. PC ""Rimi"" - Vilnius",#icon-503-DB4436,"Šiaurės g. 37, Vilnius","25.410701, 54.7009571"
Kairėnai,#poly-F8971B-2401-87,"Tulpių g., Galgiai","25.4122782, 54.7254628; 25.4119992, 54.7247565; 25.4134798, 54.7247193; 25.4135871, 54.7254133; 25.4122782, 54.7254628"
Kairėnai,#icon-503-DB4436,"Tulpių g., Galgiai","25.4128146, 54.7250787"
"PC ""Maxima"", Vydūno g.",#poly-F8971B-2401-87,"Vydūno g. 27, Vilnius, Lietuva","25.1725316, 54.7102492; 25.1724887, 54.7081603; 25.1699996, 54.7082348; 25.1699085, 54.7052562; 25.1748383, 54.703691; 25.1768124, 54.7029594; 25.1791299, 54.702228; 25.1817691, 54.7007401; 25.1835394, 54.7012051; 25.1852667, 54.7017444; 25.1869299, 54.7021721; 25.1879115, 54.7029811; 25.1887028, 54.704675; 25.1896134, 54.7060178; 25.1866079, 54.7068772; 25.1866186, 54.7087926; 25.1820293, 54.7100462; 25.1820749, 54.7088205; 25.1797199, 54.7088236; 25.1798058, 54.7098525; 25.1798058, 54.71015; 25.1725316, 54.7102492"
Buivydiškių kolegija - Vilnius,#icon-503-DB4436,"Beržų g. 2A, Buivydiškės","25.194397, 54.7166266"
"Beržų g. 2A, Buivydiškės",#poly-F8971B-2401-87,"Beržų g. 2A, Buivydiškės","25.1940751, 54.7165646; 25.194397, 54.7162919; 25.1947618, 54.7164655; 25.1945043, 54.716701; 25.1940751, 54.7165646"
